Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
06-AUG-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,235112400,142940226.6738349,No Fresh Positions
06-AUG-2026,INE0J1Y01017,LIFE INSURA CORP OF INDIA,LICI,66412476,114409400,54701582.37337814,No Fresh Positions
06-AUG-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,7159000,4325931.25483057,44203768
06-AUG-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,5213625,2376620.97398813,5172614
06-AUG-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,71637900,39813805.69799098,77721069
06-AUG-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,26177175,19703376.2192125,26979517
06-AUG-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,24176778,16781634.95000426,29881264
06-AUG-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,40821600,27658009.60508165,60518071
06-AUG-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,44970625,25230459.33046082,79758248
06-AUG-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,239994200,171001525.6738841,517140645
06-AUG-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2265750,1453613.31235637,5427302
06-AUG-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,3205000,1285116.82563835,1815458
06-AUG-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,112219200,87363214.25813991,28260789
06-AUG-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,65365000,31210576.81706539,61211671
06-AUG-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,10284750,6534638.40835389,21854760
06-AUG-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,3995875,2454618.53627936,12293779
06-AUG-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,261255000,147601055.65160119,254989093
