Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
06-AUG-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,17404000,9710672.25870314,33405941
06-AUG-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,10710425,7236311.14354531,10288765
06-AUG-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,36726000,25715561.2117487,48502797
06-AUG-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,17923400,11425339.03450741,28453699
06-AUG-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,121245625,89936956.11357865,201534627
06-AUG-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,4978725,2134620.0726843,10132613
06-AUG-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,22795200,10827674.67915376,51763893
06-AUG-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,519300,350664.01023075,4781229
06-AUG-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,109489500,69173375.89461389,280589449
06-AUG-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,223984800,139812265.75937378,125690526
06-AUG-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,162505200,94775825.47297076,77906549
06-AUG-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,13341600,6898843.76627935,6198536
06-AUG-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,225376575,128336081.85908897,314263605
06-AUG-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,13386000,8541501.44106675,29560862
06-AUG-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,84229375,58263594.31462661,342500028
06-AUG-2026,INE257A01026,BHEL,BHEL,218493415,135016875,88104388.83636803,119464355
06-AUG-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,88210000,54163203.76721956,48465814
06-AUG-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,8418475,4903391.72162501,13702517
06-AUG-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,556650,223472.22334844,732085
06-AUG-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,59194700,42399087.3718317,248320620
06-AUG-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,3924000,2094501.07532037,14879443
06-AUG-2026,INE118H01025,BSE LIMITED,BSE,61182611,30900000,13009424.35236466,45114056
06-AUG-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37197674,16443075,8109415.75554249,27228374
06-AUG-2026,INE476A01022,CANARA BANK,CANBK,504315430,542706750,404743979.9589525,74355678
06-AUG-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,23456925,11304828.90937994,14010296
06-AUG-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,101855520,37451850,22713533.29118322,74049210
06-AUG-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,64859568,23848125,17096834.59021467,44519755
06-AUG-2026,INE059A01026,CIPLA LTD,CIPLA,70510364,18961800,11706760.36388391,55278085
06-AUG-2026,INE522F01014,COAL INDIA LTD,COALINDIA,340798858,134100900,81460527.20854565,242298387
06-AUG-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,12661431,9439200,5627900.4620369,6400458
06-AUG-2026,INE591G01025,COFORGE LIMITED,COFORGE,52331255,28106700,14684134.23932034,35030558
06-AUG-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,14245222,10335325,5470297.00714985,8062663
06-AUG-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,51639257,31892500,22790370.61390483,26266923
06-AUG-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,96587231,85729100,61617945.94891098,30139923
06-AUG-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,8676200,5146423.365635,14209066
06-AUG-2026,INE016A01026,DABUR INDIA LTD,DABUR,82677434,63347500,32668111.75641166,45875450
06-AUG-2026,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425160,4669925,3727418.86561108,8076483
06-AUG-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,112291216,53684400,29737646.83964398,76939008
06-AUG-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,13600537,7368800,4279811.64167731,8640698
06-AUG-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6504348,5745500,2787691.51743346,3391439
06-AUG-2026,INE271C01023,DLF LIMITED,DLF,96251298,71802900,50002668.95080249,41436064
06-AUG-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,22726551,8321550,5358130.35090398,16232093
06-AUG-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,87080351,33081875,15627724.03777427,67098609
06-AUG-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,19219348,7598600,4364526.21430136,13893854
06-AUG-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,1379083826,276001375,171685964.36361334,1138443670
06-AUG-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,365889239,130937500,95000803.647148,252593973
06-AUG-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,736885,505100,249462.44398172,450578
06-AUG-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,51966225,19838450,13742142.64808307,35625771
06-AUG-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,448489660,204316700,96860395.26186684,329204781
06-AUG-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22582219,16212750,12054036.74984298,9399071
06-AUG-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,533339406,209975400,136223878.63780383,370448557
06-AUG-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,6348046,4548225,1985442.31685822,4045201
06-AUG-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,72056552,14493500,11670970.61132655,56782753
06-AUG-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,21839065,13671775,8491102.21044077,12256009
06-AUG-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38058064,17233250,12677547.04328998,23477613
06-AUG-2026,INE200A01026,GE VERNOVA T&D INDIA LTD,GVT&D,18819420,4666000,2625456.51585596,15252992
06-AUG-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,28450886,11871600,6715882.33049744,20312459
06-AUG-2026,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,38163575,12721000,8881332.97204399,27374063
06-AUG-2026,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,158152529,38037600,27596847.94256353,122648054
06-AUG-2026,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30606078,10910100,7222854.75518496,21852919
06-AUG-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,1783013543,595164700,386838591.5976718,1307024274
06-AUG-2026,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,161090614,96036600,58443128.07536397,94592955
06-AUG-2026,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,19590239,9055650,4920809.61064426,13689917
06-AUG-2026,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,218653306,85717100,59334204.45041633,148386436
06-AUG-2026,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,143933168,68208075,46813175.16211705,89923334
06-AUG-2026,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,97201599,36583500,18843467.45731039,73498051
06-AUG-2026,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,178972892,68938100,33899808.91378224,136124438
06-AUG-2026,INE0V6F01027,HYUNDAI MOTOR INDIA LTD,HYUNDAI,21329205,8073175,3945367.95681115,16317376
06-AUG-2026,INE090A01021,ICICI BANK LTD.,ICICIBANK,730556428,147354900,113822654.83290255,580205951
06-AUG-2026,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,32326998,8867625,5566809.34204116,25143838
06-AUG-2026,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,59123321,23746600,18357093.80926537,37810061
06-AUG-2026,INE669E01016,VODAFONE IDEA LIMITED,IDEA,9911451222,7977682125,6097209195.176426,3318669465
06-AUG-2026,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,774014712,613606175,402550147.67328735,332763828
06-AUG-2026,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,133395043,132261750,78045336.09109619,48679954
06-AUG-2026,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,89743930,33863000,26268935.13652959,58987798
06-AUG-2026,INE562A01011,INDIAN BANK,INDIANB,52862157,24249000,12678029.7559398,37541019
06-AUG-2026,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,33882112,11289750,6676767.01766766,25511239
06-AUG-2026,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,93362279,49564900,36712120.15643061,51982044
06-AUG-2026,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,192747135,127199100,93939806.39682219,89169971
06-AUG-2026,INE009A01021,INFOSYS LIMITED,INFY,480358910,151996000,90500171.2938605,365840793
06-AUG-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,178956800,115206660.3769573,22266611
06-AUG-2026,INE242A01010,INDIAN OIL CORP LTD,IOC,684903861,235199250,161558520.38455167,489100147
06-AUG-2026,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,119011160,165660250,84424275.4575993,28636326
06-AUG-2026,INE053F01010,INDIAN RAILWAY FIN CORP L,IRFC,290313356,226320150,96596446.75103525,179201241
06-AUG-2026,INE154A01025,ITC LTD,ITC,1252636416,351779250,192119851.4698194,997884743
06-AUG-2026,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,47028554,21858125,15365922.45957016,29311203
06-AUG-2026,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,503888084,340695950,214010155.9599778,264683523
06-AUG-2026,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,91884320,36192025,25176642.53904933,62113461
06-AUG-2026,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,133262322,50565600,42329860.20103128,84269345
06-AUG-2026,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,58777042,37377500,20025684.97263606,35812504
06-AUG-2026,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,57524664,84118500,32529937.75582491,22118493
06-AUG-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,7523400,4405024.41071442,40422
06-AUG-2026,INE878B01027,KEI INDUSTRIES LTD.,KEI,9320940,3800825,1888718.41994833,6966174
06-AUG-2026,INE138Y01010,KFIN TECHNOLOGIES LIMITED,KFINTECH,19963417,9296600,4735667.33279143,14229578
06-AUG-2026,INE237A01036,KOTAK MAHINDRA BANK LTD,KOTAKBANK,835719519,265970000,206159461.69579974,587774081
06-AUG-2026,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24623843,38040875,15193062.87634827,8199587
06-AUG-2026,INE947Q01028,LAURUS LABS LIMITED,LAURUSLABS,58713729,42136200,19484192.77457208,36293849
06-AUG-2026,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,45183075,58702000,34415282.84697,8508638
06-AUG-2026,INE670K01029,LODHA DEVELOPERS LIMITED,LODHA,41547991,21883125,11708694.55244234,27761896
06-AUG-2026,INE018A01030,LARSEN & TOUBRO LTD.,LT,136114291,22395800,13934072.67885538,115374503
06-AUG-2026,INE498L01015,L&T FINANCE LIMITED,LTF,127778383,77249250,46316068.63296647,75073395
06-AUG-2026,INE214T01019,LTM LIMITED,LTM,13993790,4605150,2651835.2482946,10642265
06-AUG-2026,INE326A01037,LUPIN LIMITED,LUPIN,36444964,12698150,7090154.68940338,27532561
06-AUG-2026,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,123370506,24585400,15520532.20168885,101681448
06-AUG-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,90432000,68374424.37395707,9720379
06-AUG-2026,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16930157,6674000,3418224.44522896,12665424
06-AUG-2026,INE196A01026,MARICO LIMITED,MARICO,79605726,36846000,20253681.60922033,55371758
06-AUG-2026,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,18059533,6104550,2761910.1123612,14394646
06-AUG-2026,INE027H01010,MAX HEALTHCARE INS LTD,MAXHEALTH,111353601,14795550,10496824.27548003,95289096
06-AUG-2026,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11364224,10764675,5391983.86359523,5404028
06-AUG-2026,INE745G01043,MULTI COMMODITY EXCHANGE,MCX,38177113,20395350,9785171.67169572,26483085
06-AUG-2026,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34079851,11333200,9245966.5540161,23129891
06-AUG-2026,INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,693577843,223939950,133404194.88970361,525494755
06-AUG-2026,INE338I01027,MOTILAL OSWAL FIN LTD,MOTILALOFS,28863316,11567650,6983709.01884521,20436441
06-AUG-2026,INE356A01018,MPHASIS LIMITED,MPHASIS,17425625,6308225,4054956.90614035,12499386
06-AUG-2026,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,16050690,16423550,7588577.94122652,7659577
06-AUG-2026,INE298J01013,NIPPON L I A M LTD,NAM-INDIA,26863185,9464375,7602127.99008944,17917897
06-AUG-2026,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,134225816,82134375,47027136.48440416,80487388
06-AUG-2026,INE663F01032,INFO EDGE (I) LTD,NAUKRI,60691614,18428850,14067072.62559432,43589960
06-AUG-2026,INE095N01031,NBCC (INDIA) LIMITED,NBCC,154894704,157898000,109490456.2874315,37659512
06-AUG-2026,INE239A01024,NESTLE INDIA LIMITED,NESTLEIND,84572244,16786500,9274634.33306903,71068997
06-AUG-2026,INE848E01016,NHPC LTD,NHPC,491233252,227633350,133666470.657725,333005118
06-AUG-2026,INE584A01023,NMDC LTD.,NMDC,517037525,497934000,381046147.2425534,110139501
06-AUG-2026,INE733E01010,NTPC LTD,NTPC,622821796,182316000,130789888.5004272,460890817
06-AUG-2026,INE388Y01029,FSN E COMMERCE VENTURES,NYKAA,192002004,86093750,52829144.65649674,129572759
06-AUG-2026,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,17614093,8424500,5749876.02794588,10983512
06-AUG-2026,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,3597590,2916800,1338025.42700236,2079685
06-AUG-2026,INE274J01014,OIL INDIA LTD,OIL,105756420,24389400,16941168.84802895,83527430
06-AUG-2026,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,775711816,148072500,76211648.63224087,660714576
06-AUG-2026,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,840421,321480,229670.94118352,568729
06-AUG-2026,INE619A01035,PATANJALI FOODS LIMITED,PATANJALI,51827925,53982200,35669686.96138427,13566841
06-AUG-2026,INE982J01020,ONE 97 COMMUNICATIONS LTD,PAYTM,69242766,49462400,24074640.82751194,41705986
06-AUG-2026,INE262H01021,PERSISTENT SYSTEMS LTD,PERSISTENT,16266167,6503000,3815030.83882092,11637827
06-AUG-2026,INE347G01014,PETRONET LNG LIMITED,PETRONET,112500013,49265100,32922038.47214802,73952973
06-AUG-2026,INE134E01011,POWER FIN CORP LTD.,PFC,217835555,90979200,60174123.05870949,146769654
06-AUG-2026,INE457L01029,PG ELECTROPLAST LTD,PGEL,24218545,25602500,12462571.6757102,10545046
06-AUG-2026,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,19281416,5579350,3778457.1946933,14538888
06-AUG-2026,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,37147455,13191000,7813851.26582999,27476230
06-AUG-2026,INE603J01030,PI INDUSTRIES LTD,PIIND,12267413,4194400,2856594.04531143,8797448
06-AUG-2026,INE160A01022,PUNJAB NATIONAL BANK,PNB,515822637,444032000,313925064.99663,176106440
06-AUG-2026,INE572E01012,PNB HOUSING FIN LTD.,PNBHOUSING,28124755,14510600,7870526.02769522,18847991
06-AUG-2026,INE417T01026,PB FINTECH LIMITED,POLICYBZR,69306030,14614250,9714020.92069514,56126707
06-AUG-2026,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,8695149,4665375,2410711.88438527,5849679
06-AUG-2026,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,617741894,138570800,79334261.93369603,507520537
06-AUG-2026,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,1125850,609561.52390805,1212458
06-AUG-2026,INE0BS701011,PREMIER ENERGIES LIMITED,PREMIERENE,24250573,10831600,7494078.63435077,15543965
06-AUG-2026,INE811K01011,PRESTIGE ESTATE LTD,PRESTIGE,25234534,8416800,5382489.6879365,18590317
06-AUG-2026,INE944F01028,RADICO KHAITAN LTD,RADICO,12010217,2100900,937575.1367474,10472131
06-AUG-2026,INE976G01028,RBL BANK LIMITED,RBLBANK,92716710,68649850,45603585.10141383,42477289
06-AUG-2026,INE020B01018,REC LIMITED,RECLTD,187084550,74820375,48281806.97389842,129448515
06-AUG-2026,INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,743077743,231762000,140162506.74591283,565761349
06-AUG-2026,INE415G01027,RAIL VIKAS NIGAM LIMITED,RVNL,84941460,75105800,37012472.6744356,43681914
06-AUG-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,252267800,205042162.1581949,976177
06-AUG-2026,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,44357301,34296000,23435315.70499617,18704120
06-AUG-2026,INE123W01016,SBI LIFE INSURANCE CO LTD,SBILIFE,65556334,9130125,6348141.37870676,55930375
06-AUG-2026,INE062A01020,STATE BANK OF INDIA,SBIN,610396121,168834000,98013480.65894621,481862834
06-AUG-2026,INE070A01015,SHREE CEMENT LIMITED,SHREECEM,1351155,527950,389482.14131196,894115
06-AUG-2026,INE721A01047,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,210590173,51997275,31837973.02560188,168222691
06-AUG-2026,INE003A01024,SIEMENS LTD,SIEMENS,13098712,6146350,3560277.12217979,8883499
06-AUG-2026,INE343H01029,SOLAR INDUSTRIES (I) LTD,SOLARINDS,3644817,1269850,845229.04343184,2617347
06-AUG-2026,INE073K01018,SONA BLW PRECISION FRGS L,SONACOMS,67126548,22631875,12612228.79205037,51157991
06-AUG-2026,INE647A01010,SRF LTD,SRF,22113528,9291600,4963759.25788526,16044092
06-AUG-2026,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,163832315,28630000,17405108.03089243,138235591
06-AUG-2026,INE195A01028,SUPREME INDUSTRIES LTD,SUPREMEIND,8921715,3854025,2400278.75171937,6075350
06-AUG-2026,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,1815899573,848220300,477646027.0706788,1247458567
06-AUG-2026,INE00H001014,SWIGGY LIMITED,SWIGGY,385925061,132900150,74472809.77758143,292155998
06-AUG-2026,INE192A01025,TATA CONSUMER PRODUCT LTD,TATACONSUM,89363174,25095400,17966542.69781852,66928472
06-AUG-2026,INE670A01012,TATA ELXSI LIMITED,TATAELXSI,5242164,4491625,2449803.28454783,2530252
06-AUG-2026,INE245A01021,TATA POWER CO LTD,TATAPOWER,254712297,118224300,71496076.47853042,170480605
06-AUG-2026,INE081A01020,TATA STEEL LIMITED,TATASTEEL,1069701787,352822250,226728926.7223563,789487770
06-AUG-2026,INE467B01029,TATA CONSULTANCY SERV LT,TCS,153229333,56099250,34069219.17244406,111498647
06-AUG-2026,INE669C01036,TECH MAHINDRA LIMITED,TECHM,88069487,27711000,18495810.76005927,65170201
06-AUG-2026,INE974X01010,TUBE INVEST OF INDIA LTD,TIINDIA,12628330,3088800,2341862.16446469,9655051
06-AUG-2026,INE280A01028,TITAN COMPANY LIMITED,TITAN,44469515,12542950,6760006.07920818,35486033
06-AUG-2026,INE155A01022,TATA MOTORS PASS VEH LTD,TMPV,313941896,141971200,80455478.7086101,217789322
06-AUG-2026,INE685A01028,TORRENT PHARMACEUTICALS L,TORNTPHARM,15384925,5423250,3836604.06613646,10779074
06-AUG-2026,INE849A01020,TRENT LTD,TRENT,39565447,21237975,11582679.79349818,26004494
06-AUG-2026,INE494B01023,TVS MOTOR COMPANY  LTD,TVSMOTOR,35422095,14487725,9105998.39027531,24544991
06-AUG-2026,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,15773231,2877250,1961044.67846346,13023524
06-AUG-2026,INE692A01016,UNION BANK OF INDIA,UNIONBANK,289041713,192036150,122015943.6474831,152573683
06-AUG-2026,INE854D01024,UNITED SPIRITS LIMITED,UNITDSPR,47269416,11702400,7770064.7763492,37135880
06-AUG-2026,INE405E01023,UNO MINDA LIMITED,UNOMINDA,27399147,8812100,5136046.04060124,20893143
06-AUG-2026,INE628A01036,UPL LIMITED,UPL,84189026,67343500,38523613.74187067,41455960
06-AUG-2026,INE200M01039,VARUN BEVERAGES LIMITED,VBL,205781499,91662300,57186929.29059561,138305494
06-AUG-2026,INE205A01025,VEDANTA LIMITED,VEDL,254990097,112705750,63452093.27428238,178788498
06-AUG-2026,INE01EA01019,VISHAL MEGA MART LIMITED,VMM,419720977,69233750,50714926.27803449,348020001
06-AUG-2026,INE226A01021,VOLTAS LTD,VOLTAS,34594689,12509625,7796302.46899013,25068652
06-AUG-2026,INE377N01017,WAAREE ENERGIES LIMITED,WAAREEENER,15451398,13129550,7720904.35867904,6957923
06-AUG-2026,INE075A01022,WIPRO LTD,WIPRO,428949912,343347000,218545755.1709627,188956661
06-AUG-2026,INE528G01035,YES BANK LIMITED,YESBANK,2995538014,1810331000,1255580462.8767604,1590180650
06-AUG-2026,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,36152910,14841000,10483323.90133815,23861940
